(143270):14g8:[#]{04120609}      | Zooming in ... 
(000000):14g8:[T]{04120609}      | There is grove here and you take a closer look at this area.
(143270):14g8:[#]{04120609}      | You see a carving axe here.
(3C5A98):14g8:[:]{04120609}      | You pick up the carving axe.
(143270):14g8:[#]{04120609}      | Using: HERBLORE
(000000):14g8:[Y]{04120609}      | You do not recognize what the puzzling grass might be.
(143270):14g8:[#]{04120609}      | You see a growing puzzling grass patch here.
(143270):14g8:[#]{04120609}      | You see 24 logs here.
(143270):14g8:[#]{04120609}      | You see a splitting axe here.
(3C5A98):14g8:[:]{04120609}      | You pick up the splitting axe.
(143270):14g8:[#]{04120609}      | You see a broad axe here.
(3C5A98):14g8:[:]{04120609}      | You pick up the broad axe.
(143270):14g8:[#]{04120609}      | Zooming out ... 
(143270):14g8:[#]{04100606}      | Entering settled area ...
(A80000):14g8:[!]{04100606}      | There's a rowan blocking your way!
(143270):14g8:[#]{04100606}      | You see a rock here.
(000000):14g8:[Y]{04100606}      | You open the door.
(000000):14g8:[Y]{04100606}      | You hear black grouse cooing in the south-east.
(000000):14g8:[T]{04100606}      | The Koivulais woodsman withdraws from your way.
(000000):14g8:[Y]{04100606}      | You hear a door closing.
(000000):14g8:[Y]{04100606}      | You open the door.
(143270):14g8:[#]{04100606}      | There are several objects here:
(000000):14g8:[b]{04100606}      | badger fur
(000000):14g8:[5]{04100606}      | 5 smoked pikes
(000000):14g8:[2]{04100606}      | 2 wooden bowls
(000000):14g8:[4]{04100606}      | 4 birch-bark boxes of turnip seeds
(000000):14g8:[1]{04100606}      | 181 turnips
(575757):14g8:[_]{04100606}      | ...and 5 more.
(143270):14g8:[#]{04100606}      | There are several objects here:
(000000):14g8:[6]{04100606}      | 6 smoked bear cuts
(000000):14g8:[2]{04100606}      | 2 wooden tubs
(000000):14g8:[b]{04100606}      | bag of peas
(000000):14g8:[b]{04100606}      | bag of barley grains
(000000):14g8:[2]{04100606}      | 2 bags of rye grains
(575757):14g8:[_]{04100606}      | ...and 3 more.
(143270):14g8:[#]{04100606}      | There are several objects here:
(000000):14g8:[b]{04100606}      | badger fur
(000000):14g8:[5]{04100606}      | 5 smoked pikes
(000000):14g8:[2]{04100606}      | 2 wooden bowls
(000000):14g8:[4]{04100606}      | 4 birch-bark boxes of turnip seeds
(000000):14g8:[1]{04100606}      | 181 turnips
(575757):14g8:[_]{04100606}      | ...and 5 more.
(000000):14g8:[Y]{04100606}      | You hear a door opening.
(000000):14g8:[Y]{04100606}      | You hear a door closing.
(000000):14g8:[Y]{04100606}      | You hear a door opening.
(143270):14g8:[#]{04100606}      | You see a rock here.
(000000):14g8:[P]{040F0606}      | Prepared soil
(000000):14g8:[T]{040F0606}      | The Koivulais woodsman withdraws from your way.
(000000):14g8:[Y]{04100606}      | You hear a door opening.
(000000):14g8:[Y]{04100606}      | You hear a door closing.
(143270):14g8:[#]{04100607}      | Zooming out ... 
(3C5A98):14g9:[:]{040405FD}      | You feel comfortably warm.
(A80000):14g9:[!]{040505FF}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):14ga:[:]{040D0604}      | You are feeling rather warm.
(A80000):14ga:[!@]{040F0603}     | You encounter an animal. You think it's a Capercaillie...
(3C5A98):14ga:[:]{040F0603}      | You can zoom to the local terrain map and look for it.
(147870):14ga:[?]{040F0603}      | Zoom in the local terrain map?
(000000):14ga:[O]{040F0603}      | Ok, you continue on your way.
(A80000):14ga:[!]{041205FB}      | It's deep water there! You need to swim, or go by watercraft.
(663333):14ga:[&]{040F05F9}      | You are a bit hungry.
(3C5A98):14gb:[:]{04120600}      | You are feeling rather warm.
(663333):14gc:[&]{04240604}      | You are getting hungry.
(663333):14gc:[&]{042705FF}      | You are hungry.
(A80000):14gc:[!]{042705FA}      | It's deep water there! You need to swim, or go by watercraft.
(663333):14gc:[&]{042505F7}      | You are hungry.
(3C5A98):14gd:[:]{042405F6}      | You are feeling rather warm.
(663333):14gd:[&]{042105F3}      | You are hungry.
(3C5A98):14ge:[:]{041005EA}      | You are feeling rather warm.
(663333):14ge:[&]{040F05EA}      | You are hungry.
(3C5A98):14gf:[:]{03FF05E5}      | You are feeling rather warm.
(A80000):14gf:[!]{03FE05E5}      | It's deep water there! You need to swim, or go by watercraft.
(663333):14gf:[&]{03FB05E4}      | You are hungry.
(A80000):14gf:[!]{03FB05EA}      | It's deep water there! You need to swim, or go by watercraft.
(663333):14gf:[&]{03FC05EC}      | You are hungry.
(3C5A98):14gg:[:]{03FE05E1}      | You are feeling rather warm.
(000000):14gg:[I]{03FC05DE}      | It's plain good flat rye bread and happily consumed too.
(3C5A98):14gg:[:]{03FC05DE}      | You finish eating the flat rye bread.
(000000):14gg:[I]{03FC05DE}      | It's plain good flat rye bread.
(3C5A98):14gg:[:]{03FC05DE}      | You finish eating the flat rye bread.
(000000):14gg:[I]{03FC05DE}      | It's plain good roasted elk cut.
(008000):14gg:[=]{03FC05DE}      | Burp! Your stomach is full.
(3C5A98):14gg:[:]{03FC05DE}      | You finish eating some of that roasted elk cut.
(3C5A98):14gh:[:]{03F105DB}      | You are feeling rather warm.
(3C5A98):14gh:[:]{03E305D8}      | You feel a bit tired.
(3C5A98):14gi:[:]{03E005D8}      | You are feeling rather warm.
(3C5A98):14gi:[:]{03DC05DD}      | You feel a bit tired.
